Brand,Tweet,Sentiment
Amazon,I will never buy from this brand again.,Negative
OnePlus,The product did not match the description.,Negative
Amazon,Terrible service and rude staff.,Negative
Apple,I bought this product last week.,Neutral
Swiggy,The phone has a 5000mAh battery.,Neutral
Apple,The price is similar to other brands.,Neutral
Amazon,The service was excellent and I'm very happy with my purchase.,Positive
Boat,Five stars! Worth every rupee.,Positive
OnePlus,The delivery was delayed and customer support was terrible.,Negative
Boat,The price is similar to other brands.,Neutral
Amazon,It is available in different colors.,Neutral
Zomato,Poor quality and broke after one day.,Negative
Swiggy,Poor quality and broke after one day.,Negative
Paytm,This is my first time using this brand.,Neutral
Nike,Not worth the price at all.,Negative
Amazon,Customer support replied within a day.,Neutral
Flipkart,The app has received a new update.,Neutral
Boat,Worst experience ever. Waste of money.,Negative
Samsung,The app keeps crashing and is frustrating to use.,Negative
Amazon,This is my first time using this brand.,Neutral
Zomato,It is available in different colors.,Neutral
Amazon,It is available in different colors.,Neutral
Zomato,I absolutely love this product! Amazing quality and fast delivery.,Positive
Apple,The app has received a new update.,Neutral
Amazon,Super fast shipping and great packaging.,Positive
Swiggy,I absolutely love this product! Amazing quality and fast delivery.,Positive
Nike,The service was excellent and I'm very happy with my purchase.,Positive
Samsung,The product did not match the description.,Negative
Amazon,The service was excellent and I'm very happy with my purchase.,Positive
Samsung,The app keeps crashing and is frustrating to use.,Negative
Amazon,The delivery was delayed and customer support was terrible.,Negative
Paytm,The price is similar to other brands.,Neutral
Amazon,Bad packaging and damaged item received.,Negative
Boat,Best purchase I've made this year.,Positive
Nike,I absolutely love this product! Amazing quality and fast delivery.,Positive
Zomato,The phone has a 5000mAh battery.,Neutral
Paytm,This brand never disappoints me.,Positive
Amazon,The price is similar to other brands.,Neutral
Amazon,Great customer support and easy to use app.,Positive
Samsung,Poor quality and broke after one day.,Negative
Zomato,Poor quality and broke after one day.,Negative
Apple,I bought this product last week.,Neutral
Swiggy,Loved the new update. It works perfectly.,Positive
Paytm,The delivery took three days.,Neutral
Apple,Terrible service and rude staff.,Negative
Swiggy,This is my first time using this brand.,Neutral
OnePlus,The service was excellent and I'm very happy with my purchase.,Positive
Flipkart,It is available in different colors.,Neutral
Nike,Five stars! Worth every rupee.,Positive
Flipkart,Not worth the price at all.,Negative
Paytm,The price is similar to other brands.,Neutral
Swiggy,The product did not match the description.,Negative
Swiggy,Great customer support and easy to use app.,Positive
Zomato,The service was excellent and I'm very happy with my purchase.,Positive
Swiggy,The product arrived today.,Neutral
Samsung,I will never buy from this brand again.,Negative
Nike,Best purchase I've made this year.,Positive
Samsung,This brand never disappoints me.,Positive
Zomato,Great customer support and easy to use app.,Positive
Zomato,The phone has a 5000mAh battery.,Neutral
Flipkart,It is available in different colors.,Neutral
Nike,The service was excellent and I'm very happy with my purchase.,Positive
Flipkart,This is my first time using this brand.,Neutral
Zomato,The phone has a 5000mAh battery.,Neutral
Nike,Five stars! Worth every rupee.,Positive
Apple,Very satisfied with the quality and performance.,Positive
Zomato,The product arrived today.,Neutral
Amazon,Super fast shipping and great packaging.,Positive
Zomato,This is my first time using this brand.,Neutral
OnePlus,Terrible service and rude staff.,Negative
Paytm,The delivery took three days.,Neutral
Swiggy,I absolutely love this product! Amazing quality and fast delivery.,Positive
Swiggy,Terrible service and rude staff.,Negative
Zomato,The product did not match the description.,Negative
Paytm,This brand never disappoints me.,Positive
Zomato,The app has received a new update.,Neutral
Nike,The app has received a new update.,Neutral
Paytm,I will never buy from this brand again.,Negative
Flipkart,The product did not match the description.,Negative
OnePlus,Loved the new update. It works perfectly.,Positive
Zomato,Customer support replied within a day.,Neutral
Nike,Great customer support and easy to use app.,Positive
Apple,Very satisfied with the quality and performance.,Positive
Amazon,I absolutely love this product! Amazing quality and fast delivery.,Positive
Apple,Fantastic experience. Highly recommended!,Positive
Apple,Fantastic experience. Highly recommended!,Positive
Flipkart,Very disappointed with this product.,Negative
Boat,Five stars! Worth every rupee.,Positive
OnePlus,The app has received a new update.,Neutral
Swiggy,Customer support replied within a day.,Neutral
Samsung,Five stars! Worth every rupee.,Positive
Nike,Loved the new update. It works perfectly.,Positive
Flipkart,Worst experience ever. Waste of money.,Negative
Swiggy,The product did not match the description.,Negative
Apple,Customer support replied within a day.,Neutral
Paytm,I bought this product last week.,Neutral
Zomato,Bad packaging and damaged item received.,Negative
Nike,The app keeps crashing and is frustrating to use.,Negative
OnePlus,The phone has a 5000mAh battery.,Neutral
OnePlus,Loved the new update. It works perfectly.,Positive
Zomato,Bad packaging and damaged item received.,Negative
